InventoryID,SupplyID,QuantityAvailable,InventoryDate
INV00001,SUP06948,137,2024-08-02
INV00002,SUP12853,94,2021-08-17
INV00003,SUP05869,256,2021-02-21
INV00004,SUP03557,222,2025-02-27
INV00005,SUP10794,382,2022-07-18
INV00006,SUP10119,340,2022-05-17
INV00007,SUP18570,216,2022-04-03
INV00008,SUP02256,118,2021-10-13
INV00009,SUP03242,137,2025-02-17
INV00010,SUP00957,43,2021-07-29
INV00011,SUP17347,308,2024-10-17
INV00012,SUP12010,381,2025-02-25
INV00013,SUP14639,206,2024-01-22
INV00014,SUP04120,13,2021-06-28
INV00015,SUP11882,375,2024-04-24
INV00016,SUP19439,165,2023-05-15
INV00017,SUP02868,261,2021-03-07
INV00018,SUP09756,122,2021-03-03
INV00019,SUP00884,243,2021-07-11
INV00020,SUP05810,194,2022-03-24
INV00021,SUP09236,27,2022-04-22
INV00022,SUP08889,294,2023-11-01
INV00023,SUP16863,20,2024-05-17
INV00024,SUP04174,201,2021-02-24
INV00025,SUP13147,294,2024-02-24
INV00026,SUP12613,378,2022-02-12
INV00027,SUP07952,298,2025-01-06
INV00028,SUP09370,70,2024-08-23
INV00029,SUP08296,269,2024-12-07
INV00030,SUP02829,283,2024-01-22
INV00031,SUP07659,181,2023-05-10
INV00032,SUP02260,80,2022-03-28
INV00033,SUP17992,262,2023-07-09
INV00034,SUP14317,266,2024-04-21
INV00035,SUP16009,29,2022-07-24
INV00036,SUP00134,237,2025-07-16
INV00037,SUP16373,379,2025-11-16
INV00038,SUP12387,134,2021-01-14
INV00039,SUP07306,323,2025-04-04
INV00040,SUP01253,237,2025-07-09
INV00041,SUP19884,141,2021-11-23
INV00042,SUP00873,209,2024-11-30
INV00043,SUP11338,85,2023-05-16
INV00044,SUP18173,290,2022-11-28
INV00045,SUP12970,53,2022-07-24
INV00046,SUP03159,152,2021-11-15
INV00047,SUP19526,380,2022-03-17
INV00048,SUP13415,74,2025-04-13
INV00049,SUP16767,378,2022-11-21
INV00050,SUP03917,36,2021-07-29
INV00051,SUP07181,200,2021-07-09
INV00052,SUP16831,75,2023-02-18
INV00053,SUP08329,147,2021-07-18
INV00054,SUP02696,168,2023-01-06
INV00055,SUP04887,197,2025-10-02
INV00056,SUP07011,150,2022-12-06
INV00057,SUP02351,217,2024-05-21
INV00058,SUP12634,370,2022-06-26
INV00059,SUP02979,268,2025-07-11
