SalesID,InventoryID,QuantitySold,SalesDate,Price
SAL00001,INV04518,7,2024-08-02,281.98
SAL00002,INV01153,22,2021-08-17,320.88
SAL00003,INV06675,4,2021-02-21,46.33
SAL00004,INV12798,64,2025-02-27,111.16
SAL00005,INV10021,8,2022-07-18,18.03
SAL00006,INV00713,74,2022-05-17,247.26
SAL00007,INV00899,88,2022-04-03,179.31
SAL00008,INV06630,98,2021-10-13,327.2
SAL00009,INV02514,13,2025-02-17,285.43
SAL00010,INV04214,63,2021-07-29,120.42
SAL00011,INV03246,86,2024-10-17,250.7
SAL00012,INV14813,14,2025-02-25,144.65
SAL00013,INV05434,88,2024-01-22,495.82
SAL00014,INV09386,56,2021-06-28,156.2
SAL00015,INV08649,29,2024-04-24,367.41
SAL00016,INV03912,41,2023-05-15,206.65
SAL00017,INV14474,15,2021-03-07,142.66
SAL00018,INV02058,69,2021-03-03,170.09
SAL00019,INV11232,55,2021-07-11,292.32
SAL00020,INV01004,53,2022-03-24,469.29
SAL00021,INV11212,69,2022-04-22,471.2
SAL00022,INV00694,97,2023-11-01,133.91
SAL00023,INV14370,17,2024-05-17,168.56
SAL00024,INV05618,28,2021-02-24,242.85
SAL00025,INV05955,65,2024-02-24,309.66
SAL00026,INV12033,9,2022-02-12,156.44
SAL00027,INV04851,15,2025-01-06,156.69
SAL00028,INV09992,18,2024-08-23,421.63
SAL00029,INV10049,88,2024-12-07,141.65
SAL00030,INV05648,56,2024-01-22,190.84
SAL00031,INV07853,1,2023-05-10,71.44
SAL00032,INV12884,2,2022-03-28,218.94
SAL00033,INV11041,86,2023-07-09,289.47
SAL00034,INV08947,23,2024-04-21,275.95
SAL00035,INV06389,16,2022-07-24,465.97
SAL00036,INV01253,62,2025-07-16,320.15
SAL00037,INV00139,39,2025-11-16,143.63
SAL00038,INV09338,16,2021-01-14,288.25
SAL00039,INV13097,45,2025-04-04,161.54
SAL00040,INV12209,57,2025-07-09,50.42
SAL00041,INV00213,74,2021-11-23,321.68
SAL00042,INV10463,50,2024-11-30,159.91
SAL00043,INV08677,93,2023-05-16,139.68
SAL00044,INV08546,18,2022-11-28,273.49
SAL00045,INV02473,98,2022-07-24,52.94
SAL00046,INV07387,74,2021-11-15,270.92
SAL00047,INV04408,58,2022-03-17,27.82
SAL00048,INV14806,22,2025-04-13,31.36
SAL00049,INV13916,82,2022-11-21,494.77
SAL00050,INV02448,5,2021-07-29,474.56
SAL00051,INV09945,94,2021-07-09,283.7
SAL00052,INV10472,90,2023-02-18,417.55
SAL00053,INV00249,17,2021-07-18,336.9
SAL00054,INV01010,3,2023-01-06,100.15
SAL00055,INV05058,34,2025-10-02,226.36
SAL00056,INV07346,82,2022-12-06,306.37
SAL00057,INV03130,73,2024-05-21,70.79
SAL00058,INV03209,42,2022-06-26,190.99
SAL00059,INV01110,82,2025-07-11,129.7
SAL00060,INV05364,43,2021-03-30,494.87
SAL00061,INV07150,91,2025-02-03,294.78
SAL00062,INV00392,2,2023-07-30,179.69
SAL00063,INV06072,9,2024-01-04,172.97
SAL00064,INV08930,50,2021-09-13,120.22
SAL00065,INV04491,56,2023-02-15,449.03
SAL00066,INV14301,44,2021-06-11,458.65
SAL00067,INV00114,80,2024-02-05,318.14
SAL00068,INV11969,57,2022-08-24,65.0
SAL00069,INV12920,58,2025-08-26,488.79
SAL00070,INV09470,99,2024-07-11,127.85
SAL00071,INV00806,91,2024-06-20,388.76
SAL00072,INV08082,40,2025-12-19,101.57
SAL00073,INV12032,30,2025-10-31,372.38
SAL00074,INV00802,51,2023-01-11,95.9
SAL00075,INV07124,85,2024-03-28,133.83
SAL00076,INV13889,81,2022-01-29,285.33
SAL00077,INV09757,76,2024-12-13,184.04
SAL00078,INV14019,37,2021-05-23,489.46
SAL00079,INV08105,44,2021-04-04,104.01
SAL00080,INV14951,75,2024-09-16,108.54
SAL00081,INV07151,87,2022-04-12,448.04
SAL00082,INV00068,58,2025-05-03,48.08
SAL00083,INV13746,96,2022-08-16,377.14
SAL00084,INV04136,42,2021-06-13,34.33
SAL00085,INV07874,61,2025-10-18,476.65
SAL00086,INV10567,52,2022-04-22,214.22
SAL00087,INV09348,31,2025-11-10,440.28
SAL00088,INV06169,25,2021-07-26,302.88
SAL00089,INV10394,13,2023-02-18,380.65
SAL00090,INV04519,84,2022-07-24,420.06
SAL00091,INV07209,72,2023-07-18,358.92
SAL00092,INV02127,51,2024-07-25,245.56
SAL00093,INV04130,23,2025-09-05,481.93
SAL00094,INV11900,22,2023-01-18,376.11
SAL00095,INV05564,99,2021-11-30,138.73
SAL00096,INV11720,93,2023-01-29,478.99
SAL00097,INV08679,15,2022-12-29,54.98
SAL00098,INV05858,98,2022-03-06,423.53
SAL00099,INV12603,86,2024-10-04,156.18
SAL00100,INV13852,82,2022-07-01,412.76
SAL00101,INV12007,18,2024-12-08,195.57
SAL00102,INV08118,80,2024-10-31,61.49
SAL00103,INV14390,8,2024-08-20,149.82
SAL00104,INV10572,10,2021-05-27,40.04
SAL00105,INV14391,62,2024-06-01,497.4
SAL00106,INV10460,46,2024-07-24,438.65
SAL00107,INV10446,46,2021-12-17,373.8
SAL00108,INV12159,31,2023-12-30,123.85
SAL00109,INV03785,46,2025-02-02,281.92
SAL00110,INV02056,32,2022-05-17,445.82
SAL00111,INV07876,28,2021-12-01,490.0
SAL00112,INV06478,86,2023-08-05,79.49
SAL00113,INV10252,75,2023-02-17,28.07
SAL00114,INV04227,81,2022-07-07,103.93
SAL00115,INV08028,12,2024-08-03,148.19
SAL00116,INV01312,98,2024-11-10,338.25
SAL00117,INV13154,93,2024-02-15,251.54
SAL00118,INV12371,80,2022-03-26,236.38
SAL00119,INV03890,96,2024-11-03,271.65
SAL00120,INV05805,14,2022-10-27,182.62
SAL00121,INV06375,37,2025-09-23,175.92
SAL00122,INV10541,29,2025-04-23,439.9
SAL00123,INV00039,47,2025-05-09,314.62
SAL00124,INV11214,39,2021-04-25,314.94
SAL00125,INV05811,16,2022-04-15,314.61
SAL00126,INV08064,80,2025-08-11,139.71
SAL00127,INV06538,65,2021-03-07,102.33
SAL00128,INV14080,51,2025-07-07,240.06
SAL00129,INV14777,10,2022-10-09,62.86
SAL00130,INV05858,56,2023-04-02,275.32
SAL00131,INV08344,86,2022-07-03,131.81
SAL00132,INV07235,22,2021-05-16,299.03
SAL00133,INV11022,62,2022-03-09,200.17
SAL00134,INV05716,27,2024-03-07,185.88
SAL00135,INV09263,66,2025-11-30,242.63
SAL00136,INV07895,90,2025-01-10,239.01
SAL00137,INV12240,71,2022-10-07,50.8
SAL00138,INV04691,48,2022-03-12,331.01
SAL00139,INV11771,56,2024-09-04,127.92
SAL00140,INV06946,42,2023-10-20,273.31
SAL00141,INV14950,84,2023-03-22,148.61
SAL00142,INV13919,96,2025-12-17,267.44
SAL00143,INV11331,94,2024-08-09,171.09
SAL00144,INV08547,16,2023-07-29,303.92
SAL00145,INV09054,70,2021-10-20,43.88
SAL00146,INV00385,84,2022-06-27,307.42
SAL00147,INV08005,30,2021-10-13,109.23
SAL00148,INV06422,62,2022-05-21,80.99
SAL00149,INV13508,55,2025-03-06,474.98
SAL00150,INV11125,30,2024-02-24,333.35
SAL00151,INV02416,59,2024-01-09,179.32
SAL00152,INV08552,52,2022-06-23,406.28
SAL00153,INV14656,27,2025-03-10,459.95
SAL00154,INV13319,5,2024-04-12,135.74
SAL00155,INV13321,59,2023-05-28,248.58
SAL00156,INV12223,80,2024-04-10,262.56
