SupplyID,ProductCategory,Gender,ProductName,QuantitySupplied,SupplyDate
SUP00001,Adults,Boys,Pants,77,2024-08-02
SUP00002,Adults,Girls,T-shirt,479,2021-08-17
SUP00003,Kids,Girls,Skirt,129,2021-02-21
SUP00004,Young Adults,Girls,Suit,163,2025-02-27
SUP00005,Young Adults,Girls,T-shirt,265,2022-07-18
SUP00006,Kids,Boys,Skirt,166,2022-05-17
SUP00007,Kids,Women,Coat,73,2022-04-03
SUP00008,Young Adults,Men,Skirt,376,2021-10-13
SUP00009,Kids,Women,Sweater,144,2025-02-17
SUP00010,Kids,Boys,Blouse,212,2021-07-29
SUP00011,Young Adults,Men,Dress,62,2024-10-17
SUP00012,Young Adults,Boys,Shirt,80,2025-02-25
SUP00013,Young Adults,Women,Shirt,321,2024-01-22
SUP00014,Kids,Boys,Polo,455,2021-06-28
SUP00015,Kids,Boys,Shirt,468,2024-04-24
SUP00016,Adults,Girls,Trousers,446,2023-05-15
SUP00017,Kids,Girls,Trousers,125,2021-03-07
SUP00018,Kids,Boys,Shorts,281,2021-03-03
SUP00019,Young Adults,Girls,Suit,76,2021-07-11
SUP00020,Kids,Men,Shorts,473,2022-03-24
SUP00021,Young Adults,Men,T-shirt,423,2022-04-22
SUP00022,Kids,Boys,T-shirt,157,2023-11-01
SUP00023,Adults,Girls,Trousers,157,2024-05-17
SUP00024,Kids,Girls,Shorts,260,2021-02-24
SUP00025,Young Adults,Men,Shorts,376,2024-02-24
SUP00026,Kids,Women,Polo,418,2022-02-12
SUP00027,Kids,Boys,Jeans,175,2025-01-06
SUP00028,Young Adults,Women,Cardigan,270,2024-08-23
SUP00029,Young Adults,Boys,Pants,84,2024-12-07
SUP00030,Adults,Boys,T-shirt,400,2024-01-22
SUP00031,Young Adults,Girls,Trousers,258,2023-05-10
SUP00032,Kids,Men,Polo,289,2022-03-28
SUP00033,Adults,Girls,Skirt,276,2023-07-09
SUP00034,Adults,Girls,Polo,397,2024-04-21
SUP00035,Adults,Girls,Coat,384,2022-07-24
SUP00036,Adults,Men,Blouse,64,2025-07-16
